"Verse","Word","Proper Noun"
"050107","εἶπεν",""
"050107","δὲ",""
"050107","πρὸς",""
"050107","αὐτούς",""
"050107","Οὐχ",""
"050107","ὑμῶν",""
"050107","ἐστιν",""
"050107","γνῶναι",""
"050107","χρόνους",""
"050107","ἢ",""
"050107","καιροὺς",""
"050107","οὓς",""
"050107","ὁ",""
"050107","πατὴρ","TRUE,DIVINE"
"050107","ἔθετο",""
"050107","ἐν",""
"050107","τῇ",""
"050107","ἰδίᾳ",""
"050107","ἐξουσίᾳ",""
"050108","ἀλλὰ",""
"050108","λήμψεσθε",""
"050108","δύναμιν",""
"050108","ἐπελθόντος",""
"050108","τοῦ",""
"050108","ἁγίου πνεύματος","TRUE,DIVINE"
"050108","ἐφ’",""
"050108","ὑμᾶς",""
"050108","καὶ",""
"050108","ἔσεσθέ",""
"050108","μου",""
"050108","μάρτυρες",""
"050108","ἔν",""
"050108","τε",""
"050108","Ἰερουσαλὴμ","TRUE,GPE"
"050108","καὶ",""
"050108","ἐν",""
"050108","πάσῃ",""
"050108","τῇ",""
"050108","Ἰουδαίᾳ","TRUE,GPE"
"050108","καὶ",""
"050108","Σαμαρείᾳ","TRUE,GPE"
"050108","καὶ",""
"050108","ἕως",""
"050108","ἐσχάτου",""
"050108","τῆς",""
"050108","γῆς",""
"050109","καὶ",""
"050109","ταῦτα",""
"050109","εἰπὼν",""
"050109","βλεπόντων",""
"050109","αὐτῶν",""
"050109","ἐπήρθη",""
"050109","καὶ",""
"050109","νεφέλη",""
"050109","ὑπέλαβεν",""
"050109","αὐτὸν",""
"050109","ἀπὸ",""
"050109","τῶν",""
"050109","ὀφθαλμῶν",""
"050109","αὐτῶν",""
"050110","καὶ",""
"050110","ὡς",""
"050110","ἀτενίζοντες",""
"050110","ἦσαν",""
"050110","εἰς",""
"050110","τὸν",""
"050110","οὐρανὸν",""
"050110","πορευομένου",""
"050110","αὐτοῦ",""
"050110","καὶ",""
"050110","ἰδοὺ",""
"050110","ἄνδρες",""
"050110","δύο",""
"050110","παρειστήκεισαν",""
"050110","αὐτοῖς",""
"050110","ἐν",""
"050110","ἐσθήσεσι",""
"050110","λευκαῖς",""
"050111","οἳ",""
"050111","καὶ",""
"050111","εἶπαν",""
"050111","Ἄνδρες",""
"050111","Γαλιλαῖοι","TRUE,GPE"
"050111","τί",""
"050111","ἑστήκατε",""
"050111","βλέποντες",""
"050111","εἰς",""
"050111","τὸν",""
"050111","οὐρανόν",""
"050111","οὗτος",""
"050111","ὁ",""
"050111","Ἰησοῦς","TRUE,PERSON"
"050111","ὁ",""
"050111","ἀναλημφθεὶς",""
"050111","ἀφ’",""
"050111","ὑμῶν",""
"050111","εἰς",""
"050111","τὸν",""
"050111","οὐρανόν",""
"050111","οὕτως",""
"050111","ἐλεύσεται",""
"050111","ὃν",""
"050111","τρόπον",""
"050111","ἐθεάσασθε",""
"050111","αὐτὸν",""
"050111","πορευόμενον",""
"050111","εἰς",""
"050111","τὸν",""
"050111","οὐρανόν",""
"050112","Τότε",""
"050112","ὑπέστρεψαν",""
"050112","εἰς",""
"050112","Ἰερουσαλὴμ","TRUE,GPE"
"050112","ἀπὸ",""
"050112","ὄρους",""
"050112","τοῦ",""
"050112","καλουμένου",""
"050112","Ἐλαιῶνος","TRUE,LOC"
"050112","ὅ",""
"050112","ἐστιν",""
"050112","ἐγγὺς",""
"050112","Ἰερουσαλὴμ","TRUE,GPE"
"050112","σαββάτου",""
"050112","ἔχον",""
"050112","ὁδόν",""
"050113","καὶ",""
"050113","ὅτε",""
"050113","εἰσῆλθον",""
"050113","εἰς",""
"050113","τὸ",""
"050113","ὑπερῷον",""
"050113","ἀνέβησαν",""
"050113","οὗ",""
"050113","ἦσαν",""
"050113","καταμένοντες",""
"050113","ὅ",""
"050113","τε",""
"050113","Πέτρος","TRUE,PERSON"
"050113","καὶ",""
"050113","Ἰωάννης","TRUE,PERSON"
"050113","καὶ",""
"050113","Ἰάκωβος","TRUE,PERSON"
"050113","καὶ",""
"050113","Ἀνδρέας","TRUE,PERSON"
"050113","Φίλιππος","TRUE,PERSON"
"050113","καὶ",""
"050113","Θωμᾶς","TRUE,PERSON"
"050113","Βαρθολομαῖος","TRUE,PERSON"
"050113","καὶ",""
"050113","Μαθθαῖος","TRUE,PERSON"
"050113","Ἰάκωβος","TRUE,PERSON"
"050113","Ἁλφαίου","TRUE,PERSON"
"050113","καὶ",""
"050113","Σίμων","TRUE,PERSON"
"050113","ὁ",""
"050113","ζηλωτὴς","TRUE,GROUP"
"050113","καὶ",""
"050113","Ἰούδας","TRUE,PERSON"
"050113","Ἰακώβου","TRUE,PERSON"
"050114","οὗτοι",""
"050114","πάντες",""
"050114","ἦσαν",""
"050114","προσκαρτεροῦντες",""
"050114","ὁμοθυμαδὸν",""
"050114","τῇ",""
"050114","προσευχῇ",""
"050114","σὺν",""
"050114","γυναιξὶν",""
"050114","καὶ",""
"050114","Μαριὰμ","TRUE,PERSON"
"050114","τῇ",""
"050114","μητρὶ",""
"050114","τοῦ",""
"050114","Ἰησοῦ","TRUE,PERSON"
"050114","καὶ",""
"050114","σὺν",""
"050114","τοῖς",""
"050114","ἀδελφοῖς",""
"050114","αὐτοῦ",""
"050115","Καὶ",""
"050115","ἐν",""
"050115","ταῖς",""
"050115","ἡμέραις",""
"050115","ταύταις",""
"050115","ἀναστὰς",""
"050115","Πέτρος","TRUE,PERSON"
"050115","ἐν",""
"050115","μέσῳ",""
"050115","τῶν",""
"050115","ἀδελφῶν",""
"050115","εἶπεν",""
"050115","ἦν",""
"050115","τε",""
"050115","ὄχλος",""
"050115","ὀνομάτων",""
"050115","ἐπὶ",""
"050115","τὸ",""
"050115","αὐτὸ",""
"050115","ὡς",""
"050115","ἑκατὸν",""
"050115","εἴκοσι",""
"050116","Ἄνδρες",""
"050116","ἀδελφοί",""
"050116","ἔδει",""
"050116","πληρωθῆναι",""
"050116","τὴν",""
"050116","γραφὴν",""
"050116","ἣν",""
"050116","προεῖπε",""
"050116","τὸ",""
"050116","πνεῦμα","TRUE,DIVINE"
"050116","τὸ",""
"050116","ἅγιον",""
"050116","διὰ",""
"050116","στόματος",""
"050116","Δαυὶδ","TRUE,PERSON"
"050116","περὶ",""
"050116","Ἰούδα","TRUE,PERSON"
"050116","τοῦ",""
"050116","γενομένου",""
"050116","ὁδηγοῦ",""
"050116","τοῖς",""
"050116","συλλαβοῦσιν",""
"050116","Ἰησοῦν","TRUE,PERSON"
"050117","ὅτι",""
"050117","κατηριθμημένος",""
"050117","ἦν",""
"050117","ἐν",""
"050117","ἡμῖν",""
"050117","καὶ",""
"050117","ἔλαχεν",""
"050117","τὸν",""
"050117","κλῆρον",""
"050117","τῆς",""
"050117","διακονίας",""
"050117","ταύτης",""
"050118","Οὗτος",""
"050118","μὲν",""
"050118","οὖν",""
"050118","ἐκτήσατο",""
"050118","χωρίον",""
"050118","ἐκ",""
"050118","μισθοῦ",""
"050118","τῆς",""
"050118","ἀδικίας",""
"050118","καὶ",""
"050118","πρηνὴς",""
"050118","γενόμενος",""
"050118","ἐλάκησεν",""
"050118","μέσος",""
"050118","καὶ",""
"050118","ἐξεχύθη",""
"050118","πάντα",""
"050118","τὰ",""
"050118","σπλάγχνα",""
"050118","αὐτοῦ",""
"050119","καὶ",""
"050119","γνωστὸν",""
"050119","ἐγένετο",""
"050119","πᾶσι",""
"050119","τοῖς",""
"050119","κατοικοῦσιν",""
"050119","Ἰερουσαλήμ","TRUE,GPE"
"050119","ὥστε",""
"050119","κληθῆναι",""
"050119","τὸ",""
"050119","χωρίον",""
"050119","ἐκεῖνο",""
"050119","τῇ",""
"050119","ἰδίᾳ",""
"050119","διαλέκτῳ",""
"050119","αὐτῶν",""
"050119","Ἁκελδαμάχ","TRUE,LOC"
"050119","τοῦτ’",""
"050119","ἔστιν",""
"050119","Χωρίον Αἵματος","TRUE,LOC"
"050120","γέγραπται",""
"050120","γὰρ",""
"050120","ἐν",""
"050120","βίβλῳ ψαλμῶν","TRUE,BOOK"
"050120","Γενηθήτω",""
"050120","ἡ",""
"050120","ἔπαυλις",""
"050120","αὐτοῦ",""
"050120","ἔρημος",""
"050120","καὶ",""
"050120","μὴ",""
"050120","ἔστω",""
"050120","ὁ",""
"050120","κατοικῶν",""
"050120","ἐν",""
"050120","αὐτῇ",""
"050120","καί",""
"050120","Τὴν",""
"050120","ἐπισκοπὴν",""
"050120","αὐτοῦ",""
"050120","λαβέτω",""
"050120","ἕτερος",""
"050121","δεῖ",""
"050121","οὖν",""
"050121","τῶν",""
"050121","συνελθόντων",""
"050121","ἡμῖν",""
"050121","ἀνδρῶν",""
"050121","ἐν",""
"050121","παντὶ",""
"050121","χρόνῳ",""
"050121","ᾧ",""
"050121","εἰσῆλθεν",""
"050121","καὶ",""
"050121","ἐξῆλθεν",""
"050121","ἐφ’",""
"050121","ἡμᾶς",""
"050121","ὁ",""
"050121","κύριος","TRUE,TITLE"
"050121","Ἰησοῦς","TRUE,PERSON"
"050122","ἀρξάμενος",""
"050122","ἀπὸ",""
"050122","τοῦ",""
"050122","βαπτίσματος",""
"050122","Ἰωάννου","TRUE,PERSON"
"050122","ἕως",""
"050122","τῆς",""
"050122","ἡμέρας",""
"050122","ἧς",""
"050122","ἀνελήμφθη",""
"050122","ἀφ’",""
"050122","ἡμῶν",""
"050122","μάρτυρα",""
"050122","τῆς",""
"050122","ἀναστάσεως",""
"050122","αὐτοῦ",""
"050122","σὺν",""
"050122","ἡμῖν",""
"050122","γενέσθαι",""
"050122","ἕνα",""
"050122","τούτων",""
"050123","καὶ",""
"050123","ἔστησαν",""
"050123","δύο",""
"050123","Ἰωσὴφ","TRUE,PERSON"
"050123","τὸν",""
"050123","καλούμενον",""
"050123","Βαρσαββᾶν","TRUE,PERSON"
"050123","ὃς",""
"050123","ἐπεκλήθη",""
"050123","Ἰοῦστος","TRUE,PERSON"
"050123","καὶ",""
"050123","Μαθθίαν","TRUE,PERSON"
"050124","καὶ",""
"050124","προσευξάμενοι",""
"050124","εἶπαν",""
"050124","Σὺ",""
"050124","κύριε","TRUE,TITLE"
"050124","καρδιογνῶστα",""
"050124","πάντων",""
"050124","ἀνάδειξον",""
"050124","ὃν",""
"050124","ἐξελέξω",""
"050124","ἐκ",""
"050124","τούτων",""
"050124","τῶν",""
"050124","δύο",""
"050124","ἕνα",""
"050125","λαβεῖν",""
"050125","τὸν",""
"050125","τόπον",""
"050125","τῆς",""
"050125","διακονίας",""
"050125","ταύτης",""
"050125","καὶ",""
"050125","ἀποστολῆς",""
"050125","ἀφ’",""
"050125","ἧς",""
"050125","παρέβη",""
"050125","Ἰούδας","TRUE,PERSON"
"050125","πορευθῆναι",""
"050125","εἰς",""
"050125","τὸν",""
"050125","τόπον",""
"050125","τὸν",""
"050125","ἴδιον",""
"050126","καὶ",""
"050126","ἔδωκαν",""
"050126","κλήρους",""
"050126","αὐτοῖς",""
"050126","καὶ",""
"050126","ἔπεσεν",""
"050126","ὁ",""
"050126","κλῆρος",""
"050126","ἐπὶ",""
"050126","Μαθθίαν","TRUE,PERSON"
"050126","καὶ",""
"050126","συγκατεψηφίσθη",""
"050126","μετὰ",""
"050126","τῶν",""
"050126","ἕνδεκα",""
"050126","ἀποστόλων","TRUE,GROUP"
"050201","Καὶ",""
"050201","ἐν",""
"050201","τῷ",""
"050201","συμπληροῦσθαι",""
"050201","τὴν",""
"050201","ἡμέραν",""
"050201","τῆς",""
"050201","πεντηκοστῆς","TRUE,EVENT"
"050201","ἦσαν",""
"050201","πάντες",""
"050201","ὁμοῦ",""
"050201","ἐπὶ",""
"050201","τὸ",""
"050201","αὐτό",""
"050202","καὶ",""
"050202","ἐγένετο",""
"050202","ἄφνω",""
"050202","ἐκ",""
"050202","τοῦ",""
"050202","οὐρανοῦ",""
"050202","ἦχος",""
"050202","ὥσπερ",""
"050202","φερομένης",""
"050202","πνοῆς",""
"050202","βιαίας",""
"050202","καὶ",""
"050202","ἐπλήρωσεν",""
"050202","ὅλον",""
"050202","τὸν",""
"050202","οἶκον",""
"050202","οὗ",""
"050202","ἦσαν",""
"050202","καθήμενοι",""
"050203","καὶ",""
"050203","ὤφθησαν",""
"050203","αὐτοῖς",""
"050203","διαμεριζόμεναι",""
"050203","γλῶσσαι",""
"050203","ὡσεὶ",""
"050203","πυρός",""
"050203","καὶ",""
"050203","ἐκάθισεν",""
"050203","ἐφ’",""
"050203","ἕνα",""
"050203","ἕκαστον",""
"050203","αὐτῶν",""
"050204","καὶ",""
"050204","ἐπλήσθησαν",""
"050204","πάντες",""
"050204","πνεύματος ἁγίου","TRUE,DIVINE"
"050204","καὶ",""
"050204","ἤρξαντο",""
"050204","λαλεῖν",""
"050204","ἑτέραις",""
"050204","γλώσσαις",""
"050204","καθὼς",""
"050204","τὸ",""
"050204","πνεῦμα","TRUE,DIVINE"
"050204","ἐδίδου",""
"050204","ἀποφθέγγεσθαι",""
"050204","αὐτοῖς",""
"050205","Ἦσαν",""
"050205","δὲ",""
"050205","ἐν",""
"050205","Ἰερουσαλὴμ","TRUE,GPE"
"050205","κατοικοῦντες",""
"050205","Ἰουδαῖοι","TRUE,GROUP"
"050205","ἄνδρες",""
"050205","εὐλαβεῖς",""
"050205","ἀπὸ",""
"050205","παντὸς",""
"050205","ἔθνους",""
"050205","τῶν",""
"050205","ὑπὸ",""
"050205","τὸν",""
"050205","οὐρανόν",""
"050206","γενομένης",""
"050206","δὲ",""
"050206","τῆς",""
"050206","φωνῆς",""
"050206","ταύτης",""
"050206","συνῆλθε",""
"050206","τὸ",""
"050206","πλῆθος",""
"050206","καὶ",""
"050206","συνεχύθη",""
"050206","ὅτι",""
"050206","ἤκουον",""
"050206","εἷς",""
"050206","ἕκαστος",""
"050206","τῇ",""
"050206","ἰδίᾳ",""
"050206","διαλέκτῳ",""
"050206","λαλούντων",""
"050206","αὐτῶν",""
"050207","ἐξίσταντο",""
"050207","δὲ",""
"050207","καὶ",""
"050207","ἐθαύμαζον",""
"050207","λέγοντες",""
"050207","Οὐχ",""
"050207","ἰδοὺ",""
"050207","πάντες",""
"050207","οὗτοί",""
"050207","εἰσιν",""
"050207","οἱ",""
"050207","λαλοῦντες",""
"050207","Γαλιλαῖοι","TRUE,LANG"
"050208","καὶ",""
"050208","πῶς",""
"050208","ἡμεῖς",""
"050208","ἀκούομεν",""
"050208","ἕκαστος",""
"050208","τῇ",""
"050208","ἰδίᾳ",""
"050208","διαλέκτῳ",""
"050208","ἡμῶν",""
"050208","ἐν",""
"050208","ᾗ",""
"050208","ἐγεννήθημεν",""
"050209","Πάρθοι","TRUE,GROUP"
"050209","καὶ",""
"050209","Μῆδοι","TRUE,GROUP"
"050209","καὶ",""
"050209","Ἐλαμῖται","TRUE,GROUP"
"050209","καὶ",""
"050209","οἱ",""
"050209","κατοικοῦντες",""
"050209","τὴν",""
"050209","Μεσοποταμίαν","TRUE,GPE"
"050209","Ἰουδαίαν","TRUE,GPE"
"050209","τε",""
"050209","καὶ",""
"050209","Καππαδοκίαν","TRUE,GPE"
"050209","Πόντον","TRUE,GPE"
"050209","καὶ",""
"050209","τὴν",""
"050209","Ἀσίαν","TRUE,GPE"
"050210","Φρυγίαν","TRUE,GPE"
"050210","τε",""
"050210","καὶ",""
"050210","Παμφυλίαν","TRUE,GPE"
"050210","Αἴγυπτον","TRUE,GPE"
"050210","καὶ",""
"050210","τὰ",""
"050210","μέρη",""
"050210","τῆς",""
"050210","Λιβύης","TRUE,GPE"
"050210","τῆς",""
"050210","κατὰ",""
"050210","Κυρήνην","TRUE,GPE"
"050210","καὶ",""
"050210","οἱ",""
"050210","ἐπιδημοῦντες",""
"050210","Ῥωμαῖοι","TRUE,GPE"
"050211","Ἰουδαῖοί","TRUE,GROUP"
"050211","τε",""
"050211","καὶ",""
"050211","προσήλυτοι",""
"050211","Κρῆτες","TRUE,GROUP"
"050211","καὶ",""
"050211","Ἄραβες","TRUE,GROUP"
"050211","ἀκούομεν",""
"050211","λαλούντων",""
"050211","αὐτῶν",""
"050211","ταῖς",""
"050211","ἡμετέραις",""
"050211","γλώσσαις",""
"050211","τὰ",""
"050211","μεγαλεῖα",""
"050211","τοῦ",""
"050211","θεοῦ","TRUE,DIVINE"
"050212","ἐξίσταντο",""
"050212","δὲ",""
"050212","πάντες",""
"050212","καὶ",""
"050212","διηπόρουν",""
"050212","ἄλλος",""
"050212","πρὸς",""
"050212","ἄλλον",""
"050212","λέγοντες",""
"050212","Τί",""
"050212","θέλει",""
"050212","τοῦτο",""
"050212","εἶναι",""
"050213","ἕτεροι",""
"050213","δὲ",""
"050213","διαχλευάζοντες",""
"050213","ἔλεγον",""
"050213","ὅτι",""
"050213","Γλεύκους",""
"050213","μεμεστωμένοι",""
"050213","εἰσίν",""
050214","Σταθεὶς",""
"050214","δὲ",""
"050214","ὁ",""
"050214","Πέτρος","TRUE,PERSON"
"050214","σὺν",""
"050214","τοῖς",""
"050214","ἕνδεκα",""
"050214","ἐπῆρεν",""
"050214","τὴν",""
"050214","φωνὴν",""
"050214","αὐτοῦ",""
"050214","καὶ",""
"050214","ἀπεφθέγξατο",""
"050214","αὐτοῖς",""
"050214","Ἄνδρες",""
"050214","Ἰουδαῖοι","TRUE,GPE"
"050214","καὶ",""
"050214","οἱ",""
"050214","κατοικοῦντες",""
"050214","Ἰερουσαλὴμ","TRUE,GPE"
"050214","πάντες",""
"050214","τοῦτο",""
"050214","ὑμῖν",""
"050214","γνωστὸν",""
"050214","ἔστω",""
"050214","καὶ",""
"050214","ἐνωτίσασθε",""
"050214","τὰ",""
"050214","ῥήματά",""
"050214","μου",""
"050215","οὐ",""
"050215","γὰρ",""
"050215","ὡς",""
"050215","ὑμεῖς",""
"050215","ὑπολαμβάνετε",""
"050215","οὗτοι",""
"050215","μεθύουσιν",""
"050215","ἔστιν",""
"050215","γὰρ",""
"050215","ὥρα",""
"050215","τρίτη",""
"050215","τῆς",""
"050215","ἡμέρας",""
"050216","ἀλλὰ",""
"050216","τοῦτό",""
"050216","ἐστιν",""
"050216","τὸ",""
"050216","εἰρημένον",""
"050216","διὰ",""
"050216","τοῦ",""
"050216","προφήτου",""
"050216","Ἰωήλ","TRUE,PERSON"
"050217","Καὶ",""
"050217","ἔσται",""
"050217","ἐν",""
"050217","ταῖς",""
"050217","ἐσχάταις",""
"050217","ἡμέραις",""
"050217","λέγει",""
"050217","ὁ",""
"050217","θεός","TRUE,DIVINE"
"050217","ἐκχεῶ",""
"050217","ἀπὸ",""
"050217","τοῦ",""
"050217","πνεύματός","TRUE,DIVINE"
"050217","μου",""
"050217","ἐπὶ",""
"050217","πᾶσαν",""
"050217","σάρκα",""
"050217","καὶ",""
"050217","προφητεύσουσιν",""
"050217","οἱ",""
"050217","υἱοὶ",""
"050217","ὑμῶν",""
"050217","καὶ",""
"050217","αἱ",""
"050217","θυγατέρες",""
"050217","ὑμῶν",""
"050217","καὶ",""
"050217","οἱ",""
"050217","νεανίσκοι",""
"050217","ὑμῶν",""
"050217","ὁράσεις",""
"050217","ὄψονται",""
"050217","καὶ",""
"050217","οἱ",""
"050217","πρεσβύτεροι","TRUE,GROUP"
"050217","ὑμῶν",""
"050217","ἐνυπνίοις",""
"050217","ἐνυπνιασθήσονται",""
"050218","καί",""
"050218","γε",""
"050218","ἐπὶ",""
"050218","τοὺς",""
"050218","δούλους",""
"050218","μου",""
"050218","καὶ",""
"050218","ἐπὶ",""
"050218","τὰς",""
"050218","δούλας",""
"050218","μου",""
"050218","ἐν",""
"050218","ταῖς",""
"050218","ἡμέραις",""
"050218","ἐκείναις",""
"050218","ἐκχεῶ",""
"050218","ἀπὸ",""
"050218","τοῦ",""
"050218","πνεύματός","TRUE,DIVINE"
"050218","μου",""
"050218","καὶ",""
"050218","προφητεύσουσιν",""
"050219","καὶ",""
"050219","δώσω",""
"050219","τέρατα",""
"050219","ἐν",""
"050219","τῷ",""
"050219","οὐρανῷ",""
"050219","ἄνω",""
"050219","καὶ",""
"050219","σημεῖα",""
"050219","ἐπὶ",""
"050219","τῆς",""
"050219","γῆς",""
"050219","κάτω",""
"050219","αἷμα",""
"050219","καὶ",""
"050219","πῦρ",""
"050219","καὶ",""
"050219","ἀτμίδα",""
"050219","καπνοῦ",""
"050220","ὁ",""
"050220","ἥλιος",""
"050220","μεταστραφήσεται",""
"050220","εἰς",""
"050220","σκότος",""
"050220","καὶ",""
"050220","ἡ",""
"050220","σελήνη",""
"050220","εἰς",""
"050220","αἷμα",""
"050220","πρὶν",""
"050220","ἢ",""
"050220","ἐλθεῖν",""
"050220","ἡμέραν",""
"050220","κυρίου","TRUE,TITLE"
"050220","τὴν",""
"050220","μεγάλην",""
"050220","καὶ",""
"050220","ἐπιφανῆ",""
"050221","καὶ",""
"050221","ἔσται",""
"050221","πᾶς",""
"050221","ὃς",""
"050221","ἐὰν",""
"050221","ἐπικαλέσηται",""
"050221","τὸ",""
"050221","ὄνομα",""
"050221","κυρίου","TRUE,TITLE"
"050221","σωθήσεται",""
"050222","Ἄνδρες",""
"050222","Ἰσραηλῖται","TRUE,GPE"
"050222","ἀκούσατε",""
"050222","τοὺς",""
"050222","λόγους",""
"050222","τούτους",""
"050222","Ἰησοῦν","TRUE,PERSON"
"050222","τὸν",""
"050222","Ναζωραῖον","TRUE,GPE"
"050222","ἄνδρα",""
"050222","ἀποδεδειγμένον",""
"050222","ἀπὸ",""
"050222","τοῦ",""
"050222","θεοῦ","TRUE,DIVINE"
"050222","εἰς",""
"050222","ὑμᾶς",""
"050222","δυνάμεσι",""
"050222","καὶ",""
"050222","τέρασι",""
"050222","καὶ",""
"050222","σημείοις",""
"050222","οἷς",""
"050222","ἐποίησεν",""
"050222","δι’",""
"050222","αὐτοῦ",""
"050222","ὁ",""
"050222","θεὸς","TRUE,DIVINE"
"050222","ἐν",""
"050222","μέσῳ",""
"050222","ὑμῶν",""
"050222","καθὼς",""
"050222","αὐτοὶ",""
"050222","οἴδατε",""
"050223","τοῦτον",""
"050223","τῇ",""
"050223","ὡρισμένῃ",""
"050223","βουλῇ",""
"050223","καὶ",""
"050223","προγνώσει",""
"050223","τοῦ",""
"050223","θεοῦ","TRUE,DIVINE"
"050223","ἔκδοτον",""
"050223","διὰ",""
"050223","χειρὸς",""
"050223","ἀνόμων",""
"050223","προσπήξαντες",""
"050223","ἀνείλατε",""
"050224","ὃν",""
"050224","ὁ",""
"050224","θεὸς","TRUE,DIVINE"
"050224","ἀνέστησεν",""
"050224","λύσας",""
"050224","τὰς",""
"050224","ὠδῖνας",""
"050224","τοῦ",""
"050224","θανάτου",""
"050224","καθότι",""
"050224","οὐκ",""
"050224","ἦν",""
"050224","δυνατὸν",""
"050224","κρατεῖσθαι",""
"050224","αὐτὸν",""
"050224","ὑπ’",""
"050224","αὐτοῦ",""
"050225","Δαυὶδ","TRUE,PERSON"
"050225","γὰρ",""
"050225","λέγει",""
"050225","εἰς",""
"050225","αὐτόν",""
"050225","Προορώμην",""
"050225","τὸν",""
"050225","κύριον","TRUE,TITLE"
"050225","ἐνώπιόν",""
"050225","μου",""
"050225","διὰ",""
"050225","παντός",""
"050225","ὅτι",""
"050225","ἐκ",""
"050225","δεξιῶν",""
"050225","μού",""
"050225","ἐστιν",""
"050225","ἵνα",""
"050225","μὴ",""
"050225","σαλευθῶ",""
"050226","διὰ",""
"050226","τοῦτο",""
"050226","ηὐφράνθη",""
"050226","ἡ",""
"050226","καρδία",""
"050226","μου",""
"050226","καὶ",""
"050226","ἠγαλλιάσατο",""
"050226","ἡ",""
"050226","γλῶσσά",""
"050226","μου",""
"050226","ἔτι",""
"050226","δὲ",""
"050226","καὶ",""
"050226","ἡ",""
"050226","σάρξ",""
"050226","μου",""
"050226","κατασκηνώσει",""
"050226","ἐπ’",""
"050226","ἐλπίδι",""
"050227","ὅτι",""
"050227","οὐκ",""
"050227","ἐγκαταλείψεις",""
"050227","τὴν",""
"050227","ψυχήν",""
"050227","μου",""
"050227","εἰς",""
"050227","ᾅδην","TRUE,LOC"
"050227","οὐδὲ",""
"050227","δώσεις",""
"050227","τὸν",""
"050227","ὅσιόν","TRUE,TITLE"
"050227","σου",""
"050227","ἰδεῖν",""
"050227","διαφθοράν",""
"050228","ἐγνώρισάς",""
"050228","μοι",""
"050228","ὁδοὺς",""
"050228","ζωῆς",""
"050228","πληρώσεις",""
"050228","με",""
"050228","εὐφροσύνης",""
"050228","μετὰ",""
"050228","τοῦ",""
"050228","προσώπου",""
"050228","σου",""
"050229","Ἄνδρες",""
"050229","ἀδελφοί",""
"050229","ἐξὸν",""
"050229","εἰπεῖν",""
"050229","μετὰ",""
"050229","παρρησίας",""
"050229","πρὸς",""
"050229","ὑμᾶς",""
"050229","περὶ",""
"050229","τοῦ",""
"050229","πατριάρχου",""
